magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->EVENT:catalog_controller_product_view->OBSERVER:reports->EVENT:clean_cache_by_tags->OBSERVER:invalidate_builtin,0.055126,0.055126,1,"73,992",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->EVENT:catalog_controller_product_view->OBSERVER:reports->EVENT:model_save_commit_after,0.001659,0.001659,1,"2,688",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->EVENT:catalog_controller_product_view->OBSERVER:reports->EVENT:model_save_commit_after->OBSERVER:flush_cache_after_model_save,0.001183,0.001183,1,"1,096",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT,10.759074,3.586358,3,"7,050,816","8,388,608"
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_load_before,0.449480,0.449480,1,"188,440",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_load_before->OBSERVER:mpseo_remove_schema,0.238368,0.238368,1,"11,096",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_load_before->OBSERVER:mstCoreAddPreprocessedStyles,0.055046,0.055046,1,"15,120",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_load_before->OBSERVER:nwdthemes_revslider_layout_load_before,0.101470,0.101470,1,"148,304",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_load_before->OBSERVER:ox_move_reviews,0.031865,0.031865,1,"2,440",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_load_before->OBSERVER:ox_addbodyclass,0.015105,0.015105,1,"3,464",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_load_before->OBSERVER:ox_remove_blog_blocks,0.001243,0.001243,1,"2,832",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->EVENT:layout_load_before->OBSERVER:ox_quickview,0.004836,0.004836,1,"3,720",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_load,0.003708,0.003708,1,"88,416",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_load->cache_load,0.001872,0.001872,1,"94,472",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_xml,0.048853,0.048853,1,"525,096",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_xml->cache_load,0.000588,0.000588,1,"200,800",0
magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks,9.839594,9.839594,1,"6,149,616","8,388,608"
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements",9.839045,9.839045,1,"6,994,272","8,388,608"
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->cache_load",0.000575,0.000575,1,"127,128",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements",9.834471,9.834471,1,"6,076,520","6,291,456"
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->cache_load",0.004445,0.000635,7,"99,912",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->session_start",0.006278,0.006278,1,"11,456",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EAV: Magento\Eav\Model\Config::getEntityType",0.002290,0.000327,7,"1,624",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:core_layout_block_create_after",0.029595,0.000191,155,"-47,264",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements",0.030026,0.030026,1,"115,984",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->cache_load",0.000570,0.000570,1,"12,568",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements",0.023848,0.023848,1,"27,392",0
"magento->routers_match->CONTROLLER_ACTION:catalog_product_view->action_body->LAYOUT->layout_generate_blocks->Magento\Framework\View\Layout::Magento\Framework\View\Layout::generateElements->generate_elements->EVENT:entity_manager_load_before",0.001189,0.000297,4,-552,0
